                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.81834,                0.61223,                0.95372,                0.77573,                0.89657,                  0.826,                0.62925,                 0.8774,                0.50707,                 0.9846,               0.006535,               0.006535,               0.006535
                     37,                0.83339,                0.59869,                0.95675,                0.75726,                0.83005,                0.78749,                0.60861,                0.86739,                0.50712,                0.98046,               0.006436,               0.006436,               0.006436
                     38,                0.81596,                0.59614,                0.94798,                0.79799,                 0.8825,                0.83885,                 0.6346,                0.89749,                0.51312,                0.99494,               0.006337,               0.006337,               0.006337
                     39,                 0.8317,                0.60913,                0.95309,                0.77039,                0.92523,                 0.8602,                0.65479,                0.87749,                0.47093,                0.98865,               0.006238,               0.006238,               0.006238
                     40,                0.81409,                0.58637,                0.94733,                0.81032,                0.92919,                0.85787,                0.64953,                 0.9229,                  0.492,                  1.014,               0.006139,               0.006139,               0.006139
                     41,                0.82213,                0.59078,                0.95269,                0.78063,                0.89148,                0.85945,                0.65509,                0.87308,                0.47529,                0.98141,                0.00604,                0.00604,                0.00604
                     42,                0.80781,                0.59731,                 0.9469,                0.79245,                 0.8677,                0.82618,                0.62507,                0.87593,                0.50525,                0.98577,               0.005941,               0.005941,               0.005941
                     43,                0.80652,                0.57183,                0.94679,                0.81985,                 0.8871,                0.84717,                0.63946,                0.92636,                0.48368,                 1.0091,               0.005842,               0.005842,               0.005842
                     44,                0.80888,                0.56113,                0.94441,                0.79925,                0.88463,                0.84113,                 0.6296,                0.90773,                0.47777,                 1.0017,               0.005743,               0.005743,               0.005743
                     45,                0.79994,                0.56347,                0.94534,                0.80934,                0.85042,                0.83352,                0.64698,                0.86301,                0.47052,                0.97682,               0.005644,               0.005644,               0.005644
                     46,                0.80439,                 0.5637,                0.94014,                0.78922,                0.89189,                0.84877,                0.64384,                0.90138,                0.46588,                0.98094,               0.005545,               0.005545,               0.005545
                     47,                0.79014,                0.54303,                0.93618,                0.80855,                0.94914,                0.86655,                0.66185,                0.87576,                0.46283,                0.97651,               0.005446,               0.005446,               0.005446
                     48,                0.79475,                0.55821,                 0.9398,                0.84183,                0.89279,                0.86234,                0.66386,                0.86395,                0.45449,                0.98019,               0.005347,               0.005347,               0.005347
                     49,                0.79529,                0.54634,                 0.9389,                0.82861,                0.93029,                0.87017,                0.66894,                0.86673,                0.45143,                0.96964,               0.005248,               0.005248,               0.005248
                     50,                0.77703,                0.53862,                0.93337,                0.84397,                0.94064,                0.89002,                0.69079,                0.86257,                0.47758,                0.96944,               0.005149,               0.005149,               0.005149
                     51,                0.78018,                0.53957,                0.93803,                0.82049,                0.97352,                0.89051,                  0.675,                 0.8733,                0.46536,                0.98053,                0.00505,                0.00505,                0.00505
                     52,                0.79211,                 0.5315,                0.94195,                0.83378,                 0.8924,                0.86508,                0.66178,                0.86511,                0.46595,                0.97937,               0.004951,               0.004951,               0.004951
                     53,                0.77711,                 0.5328,                0.93536,                0.81555,                0.92217,                0.86182,                 0.6722,                0.85565,                0.44539,                0.96422,               0.004852,               0.004852,               0.004852
                     54,                0.77573,                0.53331,                 0.9273,                0.85602,                0.89484,                0.85301,                0.66322,                0.85048,                0.44884,                0.96457,               0.004753,               0.004753,               0.004753
                     55,                0.77361,                0.52446,                0.93159,                0.84748,                0.89638,                 0.8877,                0.69178,                0.86797,                 0.4485,                0.97941,               0.004654,               0.004654,               0.004654
                     56,                0.76613,                0.52299,                0.92634,                0.83922,                0.92903,                0.87791,                0.66681,                0.85735,                0.44382,                0.96844,               0.004555,               0.004555,               0.004555
                     57,                 0.7636,                0.51257,                0.92651,                0.83421,                0.91835,                0.88787,                0.68193,                0.86712,                0.43228,                0.97538,               0.004456,               0.004456,               0.004456
                     58,                0.76557,                0.51631,                0.92603,                0.84073,                0.96201,                0.89205,                0.69494,                0.87697,                0.44336,                0.98043,               0.004357,               0.004357,               0.004357
                     59,                0.75722,                0.49988,                0.92247,                0.83155,                0.94912,                0.86429,                0.67334,                0.86138,                0.44004,                0.97212,               0.004258,               0.004258,               0.004258
                     60,                0.76152,                0.50137,                0.92423,                0.85473,                0.92303,                0.87956,                 0.6732,                0.88672,                0.44225,                0.97983,               0.004159,               0.004159,               0.004159
                     61,                0.75596,                0.50475,                0.92519,                0.80896,                0.95498,                0.86567,                0.66873,                0.89035,                0.44033,                0.97119,                0.00406,                0.00406,                0.00406
                     62,                 0.7525,                 0.4954,                0.91985,                0.82658,                0.94932,                0.86306,                0.67117,                0.86791,                0.43359,                0.97907,               0.003961,               0.003961,               0.003961
                     63,                0.74665,                0.50419,                0.92345,                0.83401,                0.90047,                0.89111,                0.68804,                0.85212,                0.43879,                0.96336,               0.003862,               0.003862,               0.003862
                     64,                 0.7579,                0.49437,                0.91841,                0.83996,                0.97038,                0.87592,                0.67414,                0.86549,                 0.4335,                0.97494,               0.003763,               0.003763,               0.003763
                     65,                0.75593,                0.48765,                0.92303,                0.84291,                0.95881,                0.88149,                0.68994,                0.84681,                0.42933,                0.95469,               0.003664,               0.003664,               0.003664
                     66,                0.76543,                0.50389,                0.92388,                0.85741,                0.92363,                0.90102,                0.71114,                0.84328,                0.41453,                0.95448,               0.003565,               0.003565,               0.003565
                     67,                 0.7451,                0.49736,                0.91511,                0.85444,                0.96847,                0.91027,                0.71116,                0.84005,                0.41278,                0.95176,               0.003466,               0.003466,               0.003466
